#{"t_start": 1761629057.7123, "env_id": "None"}
r,l,t
-5814.745339,1828,1.028345
-458.938406,414,1.682045
-4316.906028,1085,2.230603
-226.842353,340,2.483593
-4701.152341,1436,3.212478
-1274.578202,414,3.473834
-6421.399202,1877,4.325414
-4621.206119,1412,5.133667
-1404.480622,414,5.400585
250.875117,414,5.652239
-62.894079,340,5.898664
-57.012045,340,6.378046
-32.163717,340,6.637991
-4796.552041,1451,7.132785
-5939.763799,1212,7.829797
-3796.756593,759,8.178684
-1685.84752,1721,8.985435
-4562.239889,1569,9.822067
-3768.748927,870,10.264136
-3974.314656,1174,10.993494
-8919.381663,2594,12.016216
-5613.826603,2317,12.979649
-3843.046245,770,13.585937
-7390.11247,1977,14.475371
-6118.770646,2067,15.381082
-3790.347208,1370,15.867894
-4336.697943,1177,16.626717
-6030.848228,1818,17.49712
-1000.443408,424,17.764366
-3876.611561,1062,18.442251
-153.910162,340,18.714538
-938.286493,340,18.951061
-4358.783262,817,19.373633
-7027.130356,2700,20.71462
-4668.677496,1387,21.216522
-4058.709478,1032,22.111487
-4388.342836,1179,22.614256
284.955036,409,23.14714
-4221.066017,1861,23.776655
44.489424,426,24.309888
-822.514565,422,24.577398
-5173.605897,1401,25.316479
-4367.972221,1366,25.809423
-1231.243878,414,26.07506
282.780392,414,26.593523
208.380757,414,26.874514
-733.31189,2112,27.847836
-3882.696984,1965,28.770212
497.921588,1640,29.705603
-1458.84926,414,30.038151
-4231.084933,1364,30.954009
-3341.789054,1736,31.706346
-1200.941688,413,32.441149
-117.618709,340,32.706416
-4528.330596,1349,33.255365
-104.814215,340,33.803364
-2440.171562,1891,34.59566
-47.45373,340,35.156068
-2602.106454,1104,35.828382
157.370613,414,36.09419
-3424.201493,1624,37.018765
-1147.163907,417,37.287611
-3706.635625,1091,38.148515
-2974.908911,1231,39.084146
-853.403879,340,39.393985
-3292.025711,1147,39.95973
-295.72926,340,40.224614
-4661.52902,1851,41.223769
-1191.617538,340,41.481646
83.651193,340,42.013663
-3101.813721,896,42.500076
-1203.3195,414,42.783976
-4605.657118,1323,43.646651
-849.454352,836,44.093363
-1273.681185,415,44.614339
-1830.258959,1090,45.236245
418.341696,413,45.53526
-745.129607,340,46.013155
-1095.965401,340,47.000055
-1548.716433,414,47.288659
-3044.403461,1790,48.335866
-57.081583,340,48.593383
-1327.681714,340,48.855334
45.960411,340,49.097392
-1043.663724,340,49.351076
-1432.227775,340,49.867573
-980.301704,340,50.145014
-5054.087953,1549,50.653491
-1848.957254,1229,51.388825
-4.151469,340,51.627086
-3099.001663,599,52.251729
-2756.078754,2396,53.258977
-3005.1771,1126,53.831542
-3679.550169,673,54.494658
-1196.572621,414,54.799525
-2759.476841,1028,55.29369
228.592959,414,55.629349
751.852605,442,56.224388
-3987.820985,891,56.719282
-4277.584727,1121,57.392544
25.246904,340,57.660803
-1137.182695,414,57.922356
-3705.595905,897,58.390739
-566.444135,420,58.923743
-4179.450086,1297,59.544736
-4823.406052,1480,60.32374
31.659551,414,60.595678
-3260.369133,2657,61.944443
88.484845,340,62.253554
-1201.716628,1045,62.814609
-1163.165282,340,63.0595
-1346.893413,414,63.552873
-1500.706934,1119,64.126431
-4300.28219,1188,64.934455
-1926.156755,414,65.240233
-58.348711,340,65.483558
-1248.936801,340,65.755858
-3793.26432,840,66.478808
-1400.26824,414,66.752032
97.475207,340,67.001518
14.364229,340,67.240716
-4393.801084,1248,68.210197
-652.657145,415,68.479819
-1988.642628,1085,69.232643
125.520024,340,69.528132
-398.74331,414,69.778757
255.714212,411,70.034973
442.881915,420,70.288711
-33.922667,340,70.52662
-79.287508,340,71.000848
-4143.653204,2261,72.120888
125.099324,340,72.412318
-1472.770114,414,72.665356
-4768.357831,1115,73.354062
-1196.010587,410,73.761573
-1601.459973,414,74.112976
-3436.231446,1624,75.136646
-3411.35401,961,75.52402
-1377.404162,1368,76.382803
-4206.555621,937,76.780699
29.692093,340,77.477285
-4025.089474,1034,78.001518
-1060.884039,414,78.259125
-1133.370465,413,78.772056
155.110091,414,79.084502
-3863.130522,980,79.591374
-5904.279114,1632,80.396267
40.771488,340,80.636839
-3486.3067,1803,81.508829
-4105.250182,1138,82.174637
-4408.246882,1740,82.939421
-1643.425688,414,83.433936
-1383.975285,414,83.71962
-3089.75016,1082,84.217802
-2615.869286,423,84.692845
-656.460557,963,85.23512
374.193626,414,85.585478
-2244.575695,807,86.340726
-305.052873,340,86.638226
-1528.219997,414,86.900337
1438.919982,1202,87.803104
628.610197,419,88.101713
121.378873,414,88.409546
-3913.392427,1242,89.253697
-1205.507556,340,89.529859
244.007518,414,89.778154
-79.789972,340,90.009948
-2422.875989,1020,90.743332
-41.966644,340,91.012279
-2281.192533,1561,91.901098
-10.730729,340,92.178962
-2136.305765,956,92.661229
-1220.309608,414,92.924455
-2455.947804,414,93.412964
21.030322,340,93.69561
-2874.718533,2620,94.77882
-1842.677996,1426,95.718423
-74.671865,340,95.971431
-4436.753472,1818,96.841962
8.182055,414,97.136545
-2037.497549,1260,97.9371
-1317.982998,340,98.209648
-24.093891,410,98.482511
-924.670605,340,98.736768
36.004159,340,98.981185
60.280688,340,99.219134
-4579.977408,1051,99.96511
3545.162657,2686,101.150136
257.685035,340,101.414783
-3654.154628,771,102.082217
-1560.752098,1495,102.962224
-2715.803417,789,103.424014
-3787.510795,1797,104.42726
-1404.29094,340,104.71185
-1025.90993,441,104.98986
-7566.852127,2681,106.279924
-3070.059356,858,106.808754
394.536148,340,107.066425
237.487838,414,107.345563
-3951.717833,908,107.971188
-2783.888377,2700,109.068414
79.822736,340,109.315591
-2362.376961,974,110.0378
-3925.541911,2006,111.079755
-3694.823111,934,111.573431
-1591.038703,877,112.286355
-2845.685556,1566,112.970651
-3182.088018,2034,113.867062
-5283.307918,1598,114.857534
481.47554,412,115.123165
-3915.404611,1087,115.87738
-827.784134,340,116.156556
121.329468,340,116.404067
-4072.898741,1092,117.160705
29.678301,340,117.417598
-2033.763637,434,117.69938
-3849.425325,2051,118.611833
533.650142,417,118.87642
-2250.720639,1534,119.781143
-1559.965816,1126,120.547023
-1885.553873,1637,121.25387
-1248.135754,414,121.836094
316.792497,414,122.161756
-1479.886228,414,122.478933
-935.531309,414,122.841499
-1133.813085,414,123.720059
-4303.019894,2022,124.934323
-1227.837462,414,125.51203
-4819.715262,1916,126.636168
-1700.297784,414,127.006605
17.011568,340,127.405356
-2420.228942,1209,128.031169
-3400.473861,1769,129.21441
-4001.932315,2699,131.09005
-3923.488128,1119,131.671889
129.910358,414,131.930469
-5559.863997,1765,132.818253
-3593.442891,1124,133.701913
-1070.740812,414,134.000753
-3447.132122,1005,134.774319
-3229.346636,937,135.370308
-2590.303524,1723,136.238614
-2700.056168,969,136.74841
143.194711,340,137.003606
503.748443,948,137.763756
348.814364,423,138.099339
467.389349,427,138.404712
-1213.73597,414,139.069179
-3958.504397,1297,139.693856
-2162.355273,861,140.404757
203.588101,340,140.740997
-393.996564,1497,141.923435
-3038.759432,1135,142.574109
-2318.423371,1056,143.420029
-2559.256111,1313,144.091727
-1505.616983,340,144.352742
124.692896,1350,145.239572
-2690.968097,1059,146.009311
-2923.875115,1207,146.605518
-3570.627844,1399,147.484208
-3794.191482,1578,148.423738
-651.967605,416,148.783587
-3326.887786,782,149.224951
265.12319,340,149.463462
-1200.279955,2394,150.83603
-4364.622899,1498,151.514808
-2148.926494,1391,152.410318
-1321.685189,414,152.683042
487.944553,2356,153.973345
-1206.949354,1543,155.011767
208.0589,340,155.291093
-1207.996294,410,155.548955
350.284231,340,156.051436
-1198.330586,416,156.354934
-33.783739,340,156.620615
-4968.038028,2158,157.567815
-1464.165824,414,157.831657
-2093.718343,1906,158.768686
-3075.134089,730,159.267092
-1154.527458,423,160.00886
-1346.774567,340,160.286033
-3018.019574,808,160.640121
-3292.62273,1028,161.436089
-2179.472383,1291,161.957071
113.713019,340,162.44434
-3300.52586,1787,163.096896
-2023.335099,1104,163.88446
-2532.415724,1195,164.657392
-4475.950635,1992,165.637677
448.52552,420,165.944653
-1765.39353,436,166.211759
-782.009781,1176,167.057261
162.533789,340,167.336892
17.536495,340,167.605238
-1302.938351,902,168.128138
-2735.237921,1407,169.000826
77.08189,340,169.238459
-1451.215825,414,169.495163
130.806774,340,169.723212
-3926.665337,1527,170.619096
86.262918,340,170.856068
-961.177132,340,171.351153
-3836.947957,916,171.956778
-2066.555196,1091,172.851201
-1181.764627,340,173.121386
1311.601737,1262,173.695191
-1147.787721,414,174.234388
146.876084,340,174.533733
-3119.013985,1886,175.515774
-119.241215,1077,176.048372
-2708.180911,950,176.766761
-3514.35835,1425,177.315605
-1785.426725,839,178.01191
-1161.426451,414,178.300437
-2908.669617,1497,179.231418
-3376.196813,1205,179.794569
-2573.900662,795,180.477397
-2775.233467,1306,181.168363
-3330.347441,1550,182.095712
-2176.766426,1372,182.966476
-2098.693119,1062,183.501666
-3396.895791,2700,184.800992
266.850687,340,185.085199
-1273.08184,414,185.355962
-1290.522674,414,185.620062
495.396023,425,185.90759
-3110.179394,830,186.600604
-615.878384,1753,187.59065
81.87333,340,187.856995
501.732142,411,188.103272
-4386.119188,2414,189.088951
-1104.442926,414,189.359213
148.461476,340,189.606846
-7415.762814,2700,190.93276
57.335129,340,191.183877
-4240.443269,1563,192.033918
-2614.524814,810,192.574848
-1444.332401,340,192.875464
-2636.405988,2654,194.295349
-1248.72432,416,194.585442
-3327.818786,2419,195.750158
352.69137,414,196.002727
-373.20567,340,196.242173
86.969276,340,196.730064
-3199.996309,1600,197.312119
-1158.427832,414,197.564271
-875.294988,340,198.081559
248.224871,340,198.364463
-1571.358763,1198,198.958482
1.832242,340,199.618302
108.76751,340,200.016291
256.05637,340,200.418575
-4860.964119,1878,201.293878
-545.667839,1256,201.885473
468.114573,422,202.396935
-3882.352103,1763,203.257835
-4137.263006,1311,203.867375
-4442.054724,1654,204.719391
-4489.202785,1547,205.497062
-2688.799726,890,205.989398
-3424.3422,1695,206.840051
-2577.319812,882,207.301669
460.167425,414,207.82331
61.276563,340,208.10318
-4006.478239,2340,209.176289
-1720.27432,425,209.461034
392.845637,340,209.726052
-1895.307717,414,209.970444
-3055.989875,1888,210.854082
134.857548,340,211.328547
-3100.200913,675,211.683379
-1210.129552,340,212.006389
-4680.050548,1823,213.000522
-2638.129578,967,213.479638
362.105958,414,213.980726
-1209.500812,418,214.271027
-2497.711478,2700,215.345177
-3136.490549,1888,216.372087
-1295.658197,414,216.64186
332.762657,410,216.911756
434.135846,414,217.42308
-1409.801972,421,217.717911
412.544644,414,217.974926
-2229.920268,1094,218.799791
-3896.708675,1566,219.393705
-5889.957544,1878,220.266348
-1096.172376,417,220.768844
-884.27686,340,221.066543
131.793891,340,221.305292
449.390872,414,221.561503
-3176.93904,1052,222.31568
-1317.223261,414,222.621975
-1348.303805,340,222.887743
321.724792,340,223.126563
-1275.497813,340,223.361661
274.759428,340,223.605461
197.052221,340,224.112662
-3590.438122,1668,224.692734
-6798.88138,2700,226.264955
190.116126,340,226.53667
-3069.990017,1180,227.085558
-1461.993942,885,227.882163
-3393.909339,1337,228.774021
-541.406325,1252,229.429721
-4903.210784,2700,230.87988
504.338659,414,232.638195
374.666225,340,233.01856
-1166.952125,426,233.362579
464.39905,414,233.676318
-822.224223,1471,234.802222
-3131.439324,1561,235.868184
-3638.695488,1783,236.836117
350.599333,340,237.138459
725.761229,414,237.440088
-1105.750815,412,237.725443
-1847.194783,1313,238.817558
428.411775,424,239.21987
-4373.357422,2700,240.525001
-2156.577265,758,241.327759
-1089.043474,424,241.64987
-249.432961,2283,242.890486
600.593233,340,243.182715
291.75327,340,243.49137
-3417.853016,1022,244.298698
-1342.774254,410,244.613341
-2946.263772,1313,245.668982
251.452978,340,245.984664
-2073.443837,1688,247.240462
-3190.022815,932,247.704199
1984.905751,1433,248.748595
-1490.114145,414,249.143173
-689.508611,1801,250.275862
146.852984,340,250.558955
-1676.773845,1509,251.580858
-1109.736469,924,252.108264
320.485826,340,252.384639
-1039.832631,425,252.983522
-1525.055641,414,253.306557
-2571.079886,2301,254.444107
-1251.75552,414,254.766461
100.069302,340,255.043916
-1475.13993,414,255.621102
721.61225,425,256.003326
-2969.962357,1178,256.745923
-1016.928606,2700,258.380346
743.57843,414,258.7344
245.971458,340,259.020113
-4144.974503,1703,260.561915
-2140.668079,1307,261.237504
-3362.035341,1077,262.150118
-1288.799525,415,262.50889
375.885341,340,262.830463
-1111.212503,414,263.543941
-115.592886,340,263.904437
-1824.99443,1591,264.847972
-1387.550844,900,265.420075
-1294.627785,1420,266.678415
-3141.760239,1340,267.356184
252.031407,340,267.663265
671.615575,424,268.363133
-4003.225353,1910,269.378121
-2383.242088,1216,270.515545
545.935352,418,270.8401
319.668723,340,271.479556
556.546086,424,271.813389
694.091658,426,272.147687
-1178.136749,414,272.451838
-262.196709,340,272.741075
-597.871011,1058,273.780197
-2175.84676,1259,274.701077
224.044824,340,275.026812
-2066.101226,852,275.510254
-3482.27298,1761,276.423762
262.420638,340,276.674391
-291.990207,340,276.944258
322.742085,340,277.189154
381.351965,933,277.98409
-3018.928745,1172,278.544315
-1171.937783,414,279.105132
-2953.25234,1001,279.645544
461.925997,411,279.909911
1261.256285,1991,280.998552
301.146017,414,281.526708
4002.830644,2327,282.747129
215.860205,340,283.019448
-1401.715109,1166,283.574144
-1317.503824,340,284.114029
-3971.329425,1737,284.752567
-1446.704485,1224,285.597015
-4199.187761,1744,286.594688
-4455.955198,1726,287.677082
730.920708,424,287.971717
-3361.840984,1036,288.506931
-2998.677944,762,289.165661
-3711.030645,1271,289.642633
381.956127,414,290.174108
-1204.410628,1147,290.758777
-3121.669315,865,291.520754
-1600.256078,414,291.937265
-3021.860979,958,292.359192
197.434334,340,292.644118
285.29462,340,293.406336
183.682529,340,293.912877
-1245.640623,908,294.471413
-1463.964079,414,294.853972
-2044.119856,1455,295.976097
-3635.558927,1828,297.195355
-1076.310338,424,297.459744
4487.335275,1202,298.217024
-1179.687386,426,298.489557
-1053.645174,1152,299.303001
-972.246494,2631,300.431122
-5902.064515,2224,301.426946
-1873.612496,1391,302.338171
-600.121058,1290,302.95956
407.516901,340,303.195973
-3307.842422,1716,304.174089
-2871.690962,2700,305.616893
-1152.28306,1881,306.681417
-924.114912,340,306.977696
-1617.666072,1266,307.569669
160.656905,340,307.819458
-3089.887704,1075,308.622166
-2188.811585,1161,309.432109
-4139.233985,2700,310.584385
-1871.57298,1630,311.559968
-2827.053633,1185,312.141661
-1275.927021,414,312.408032
636.53432,424,312.941037
631.356983,414,313.244081
255.033842,340,313.480764
-3161.020744,1551,314.478221
479.490543,426,314.772418
-3700.10616,1342,315.660365
-397.178641,1169,316.253832
-683.081889,1471,317.2093
-1548.914803,1318,317.977916
-2012.469856,1561,318.678117
-920.378979,414,319.248044
-1868.882427,994,319.805246
172.955438,340,320.061811
-2643.214068,1605,321.138446
-1218.088869,1566,321.978633
-2808.908332,943,322.484581
126.669823,340,322.739171
518.114827,340,323.288828
-735.770026,414,323.596128
-1377.090685,414,323.862014
-1289.983485,949,324.350366
130.283835,340,324.901709
-741.82465,461,325.209198
508.958358,414,325.46687
-559.890587,2700,326.678817
-1032.439215,425,327.255815
-3715.346088,1873,328.085691
185.031467,340,328.635293
2142.966053,2226,329.69547
684.939807,411,330.10517
-1973.524617,1056,330.687466
131.45055,340,331.24282
-211.537541,1640,332.011635
1138.536719,1371,332.975496
-2274.364691,1328,333.930867
211.151947,340,334.203475
-1512.79318,1289,334.781703
-3006.75772,1137,335.56669
-1314.955898,340,335.814981
-1382.750476,414,336.070184
45.13911,1662,337.037571
297.876474,340,337.285989
685.060804,414,337.802478
-658.698023,1262,338.488149
-1814.016181,832,339.310627
1796.258944,1792,339.947919
790.691533,424,340.495459
-1186.53686,1562,341.181071
103.291316,340,341.724537
290.7684,340,342.023982
336.183812,1682,342.999106
-1801.26572,735,343.450283
-1118.834876,1439,344.374257
-2325.959021,1185,344.96665
-1168.808025,412,345.226812
-4406.50559,1975,346.141861
323.853443,340,346.691156
445.560953,340,346.985944
1029.855261,1683,347.843662
-2284.123623,1163,348.472329
-2189.662363,1143,349.193615
-1191.484868,414,349.485397
-2332.955101,1356,350.336134
383.165886,340,350.616264
-147.443742,340,350.859362
297.546607,340,351.098727
-5919.182744,2573,352.376546
